target,feature,permutation_importance,importance_std
next_6m_delinquency_flag,dti_numeric,0.119413,0.010015
next_6m_delinquency_flag,ltv_numeric,0.096901,0.003517
next_6m_delinquency_flag,credit_score_numeric,0.087654,0.011149
next_6m_delinquency_flag,interest_rate,0.077903,0.004616
next_6m_delinquency_flag,original_balance,0.065144,0.008574
next_6m_delinquency_flag,ever_dpd,0.051916,0.007294
next_6m_delinquency_flag,state,0.051773,0.003826
next_6m_delinquency_flag,loan_purpose,0.04213,0.002478
next_6m_delinquency_flag,current_balance,0.039457,0.003903
next_6m_delinquency_flag,remaining_term_months,0.038516,0.010901
next_6m_delinquency_flag,servicer_name,0.014565,0.003664
next_6m_delinquency_flag,balance_ratio,0.011536,0.001981
next_6m_delinquency_flag,dpd_velocity,0.006138,0.000603
next_6m_delinquency_flag,paydown_rate,0.005264,0.001476
next_6m_delinquency_flag,occupancy_type,0.004858,0.003114
next_6m_delinquency_flag,property_type,0.004687,0.007066
next_6m_delinquency_flag,term_ratio,0.004129,0.002367
next_6m_delinquency_flag,loan_age_months,0.003694,0.000235
next_6m_delinquency_flag,dti_band,0.003173,0.001894
next_6m_delinquency_flag,credit_score_band,0.001665,0.002666
next_6m_delinquency_flag,document_status,0.00062,0.00037
next_6m_delinquency_flag,source_system,0.0,0.0
next_6m_delinquency_flag,vintage_year,0.0,0.0
next_6m_delinquency_flag,days_past_due,-0.003381,0.000761
next_6m_delinquency_flag,ltv_band,-0.003498,0.003821
